# RV data for HD75732
#************************************************************************
#      obnm      UT date             jd    mnvel   errvel   mdchi      cts
#************************************************************************
  rj28.949   2007/01/31   14131.880926    16.84     1.10   1.098    68560
  rj28.950   2007/01/31   14131.882292    14.11     1.09   1.092    70426
  rj28.951   2007/01/31   14131.883576    14.37     1.09   1.096    70396
  rj29.173   2007/02/07   14138.838403   -37.92     0.89   1.143    77521
  rj29.174   2007/02/07   14138.839201   -36.89     0.88   1.156    77061
  rj29.175   2007/02/07   14138.840116   -39.14     0.86   1.164    78355
  rj29.176   2007/02/07   14138.840914   -36.14     0.95   1.145    74615
  rj29.177   2007/02/07   14138.841725   -38.17     0.94   1.183    77055
  rj29.252   2007/02/07   14139.047419   -33.45     0.89   1.163    77516
  rj29.253   2007/02/07   14139.048218   -31.92     0.92   1.167    78069
  rj29.254   2007/02/07   14139.049005   -32.68     0.82   1.132    75265
  rj29.255   2007/02/07   14139.049792   -32.16     0.85   1.177    75514
  rj29.256   2007/02/07   14139.050556   -32.43     0.81   1.210    79920
  rj31.120   2007/04/26   14216.774236    56.11     0.86   1.134    77186
  rj31.121   2007/04/26   14216.775243    58.33     0.93   1.130    76728
  rj32.118   2007/05/26   14246.782211    57.24     0.86   1.125    73856
  rj32.119   2007/05/26   14246.783218    55.19     0.89   1.094    74460
  rj32.120   2007/05/26   14246.784225    53.99     0.85   1.102    73353
  rj32.510   2007/05/27   14247.815394    51.83     0.96   1.149    72406
  rj32.511   2007/05/27   14247.816238    51.33     0.84   1.151    74357
  rj32.512   2007/05/27   14247.817060    50.08     0.91   1.157    75045
  rj32.907   2007/05/28   14248.790914    31.90     0.90   1.107    75394
  rj32.908   2007/05/28   14248.791875    31.92     0.90   1.115    77541
  rj32.909   2007/05/28   14248.792813    31.21     0.88   1.100    75861
 rj32.1305   2007/05/29   14249.783218    -5.90     1.00   1.136    75908
 rj32.1306   2007/05/29   14249.784086    -8.35     0.93   1.134    75427
 rj32.1706   2007/05/30   14250.786493   -26.52     0.96   1.163    74526
 rj32.1707   2007/05/30   14250.787431   -30.50     0.93   1.169    75518
 rj32.1708   2007/05/30   14250.788356   -30.09     0.93   1.177    73975
 rj32.2108   2007/05/31   14251.790116   -59.69     0.96   1.113    73834
 rj32.2109   2007/05/31   14251.791030   -58.27     0.90   1.122    72341
 rj32.2110   2007/05/31   14251.791921   -60.28     0.96   1.124    74056
  rj33.113   2007/06/04   14255.736019   -70.92     0.82   1.295    77769
  rj33.114   2007/06/04   14255.736771   -69.31     0.85   1.329    78477
  rj33.115   2007/06/04   14255.737523   -70.46     0.89   1.292    76595
  rj47.429   2007/10/24   14398.138218   -26.94     0.92   1.153    73316
  rj48.197   2007/11/23   14428.044965   -50.54     0.93   1.112    75876
  rj48.198   2007/11/23   14428.045984   -53.49     0.84   1.106    75383
  rj48.199   2007/11/23   14428.046979   -51.04     0.93   1.104    74587
  rj48.474   2007/11/24   14429.003634   -63.61     0.95   1.104    73735
  rj48.475   2007/11/24   14429.004583   -62.09     0.87   1.108    72970
